Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.184619362250075,3.29272245024868,5.25550196715072,5.64567975906083,-0.540550189302294,-0.205619193188355,5.38803390599543,4.62418650861058,5.53520647919645,3.16598822778928,-0.256775736225364,2.53770126586743,-1.80301378017963,4.58379097983199,7.23645316716272,4.16957534780626,3.46265504853929,3.45462966726373,4.17698239554727,3.67223783532349,1.88596558335223,-0.108312881913292,3.52249717698845,2.7517958662618,4.02902272603258,2.68443073360764,3.77277269138068,4.44712793805328,4.48313335029331,4.78842504949371,4.07758576006954,0.95553834188668,1.7004473278454,2.79560596521233,3.84777169424153,3.48354993544559,2.78453963817891,2.00385829909158,0.113587248160997,-2.57650023225001,2.69519258234851,1.56440685537306,2.289113386319,2.11783009786468,2.52381981372621,2.94555045599772,1.81945147620522,2.45762230175086,2.96650506916596,2.58382533018889,-2.16302913866512,6.05505293304556,2.5123753198332,2.88755600905984
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.10314454468504,3.13269979897395,4.30034130133481,4.77748688792387,0.890068708892883,-0.866738910077046,4.94925841964529,3.34721807378358,3.00849288090146,4.15036330963736,1.40882865694267,0.529240572519726,-0.394840785357886,1.57241014877407,2.82294785741442,2.32793518918379,2.28733927623549,1.40215160945998,3.70723564999483,3.89655171515797,5.25500609657068,5.10826150662902,2.01418423268822,-0.973303672314501,2.59758495227749,1.50540577767291,1.03815582464068,1.8548172630131,2.0961614012438,2.13011669389533,2.87724595591061,1.63654099437316,-0.228310223930706,-0.529929010433477,1.16236825444811,0.885697256705441,3.85573614635729,2.89010717888073,0.910403214153277,-5.54516454479311,4.14676755040489,3.75796884487347,0.47429132103845,0.386224592046474,2.16949889758517,1.65271978656361,2.29471066413561,2.71602454639843,1.11644310902427,0.987893350164853,-4.09513751682526,3.6699998840452,1.36973104612758,-0.266438401180253
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,19.2999999967022,7.05999999853672,3.81000000021984,7.76000000084325,2.31000000294736,8.71999999747992,-1.57000000165326,7.57000000138403,11.3259779878892,7.59132468000007,7.83414501593799,5.11276109058952,9.05928417062999,10.7273706842105,15.2325609955089,13.435474366529,8.93506493506504,11.6282225655699,11.2225949825209,4.20633435547828,3.9416305983694,9.36170212784847,14.2996108947926,13.9290780143689,13.0727091631599,11.0328121562746,9.97619992053447,9.2876465280865,7.92079207933551,7.7370030581299,8.58643201808462,8.31263887091522,9.24339326638321,10.1181928640117,10.1314073631003,11.458238455067,12.6746751655235,14.1499854947127,9.67024588602851,9.40269972778044,10.5962719761682,9.4613358870736,7.85617427055587,7.77872409446717,7.46190028229434,6.97878002657477,6.77555562837017,6.8912663621211,6.75671800166833,6.06850235053705,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.15722973718955,1.64293037527582,-0.553301305344547,3.29552113471652,1.18533625466961,9.14991201570659,1.66310363813034,7.25476458760367,5.71253208869331,-5.23818270446218,6.7358215288198,6.00620362601497,3.47573323969961,7.28889290305703,3.82073785610604,5.25429922311382,4.77656416847516,3.96535563481719,9.62778291607844,5.94734333181324,5.53345456125301,1.05683143496063,5.48239602040357,4.75077621776924,6.65892407028434,7.57449183788519,7.54952224920051,4.04982084998183,6.18441582172117,8.84575555939531,3.84099115659129,4.82396626555771,3.80397532112175,7.8603814759073,7.92293661199932,7.92343062148318,8.06073257166651,7.6608150670107,3.08669805921981,7.86188883286074,8.49758470221235,5.24131619937695,5.45638755166587,6.38610640094825,7.41022760508854,7.99625378571471,8.25630550179086,6.79538341897911,6.45385134497769,3.87143694070356,-5.77772470686801,9.68959249192875,7.60936497768895,9.19075493028345
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.4,11.3429219931908,11.9403481162508,13.9687217796782,8.15393868457201,5.16664908406321,10.2571295347867,4.93432806978961,4.96989768924738,6.7595601220408,9.19999999999976,-4.24999999999956,0.829999999999529,-2.92999999999996,5.39999999999988,7.85000000000042,7.48999999999982,3.52999999999983,-0.059999999999917,3.16000000000032,-4.35000000000022,1.03218958549303,-0.54407204977727,4.9246900037071,5.85287036219013,4.22379363350413,2.20886405039022,3.39484598630671,0.338097901207306,0.467937566477133,4.38794944745618,1.38989640095637,3.05346185909312,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,3.24165532906981
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,25.0072419293896,14.237531556251,3.36426203503635,5.39276048395909,11.1606745454861,-5.22774755532083,9.04235172630212,6.02411784954167,-5.76415839390285,6.75943093519176,4.20483104427296,-13.1278804850513,-6.80338881534813,-10.9240850339387,-1.11562321716823,5.91302745911383,0.0609452742067873,3.20012546702939,7.3340254875872,1.91938129589542,11.7768859342069,0.358352601660144,4.63119294607692,-2.03511877399136,-1.81492448525673,-0.0726647639378797,4.19592404660108,2.93709941924899,2.58125410192935,0.584126892918917,5.01593475931159,5.91768464920368,15.3291557409559,7.34719496799485,9.25055822917993,6.43851652538319,6.05942803202912,6.59113036068734,6.7644727778017,8.03692510099067,8.00565591628646,5.30792420289512,4.23006117493168,6.67133539306172,6.30971865525467,2.65269329543003,-1.61686894906529,0.80588661910221,1.92275734200651,2.20842927714881,-1.79425308274458,3.64718654072446,3.25168140827093,2.86021499108364
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.65544691647621,22.1738919255764,17.082429349983,5.89658021016672,4.06561734893735,0.882203175319148,2.15396450322561,9.45379784408087,6.91249354626197,7.61522604591983,5.5919762059677,3.77354419402822,1.50647825757706,1.3090502411486,1.75521697703473,4.30056181879613,7.17755539065963,5.93710744420895,6.20318382314591,4.69034876792047,4.19205097155167,1.43834679171559,-0.799493958641349,0.353197256227247,2.632784517837,4.40621652482287,4.14683926876013,0.474901921293579,3.29021372249065,2.30538859522412,0.599695390807426,3.77990649795343,0.546859530175595,2.93247554570904,5.10429977629738,5.90666607980057,6.47249430015484,6.85072976998784,0.232282744812977,3.30693981631089,8.05847360290906,5.1211061197056,4.56867961444982,3.7978483925754,5.02011100232484,4.96772112759767,4.21351706814744,3.83795817364721,5.64794640709219,5.11415885767801,-0.272766327438816,7.59048947333467,4.85998104287999,5.55587301319866
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.61985229282153,-5.47948302722807,-13.9737287020561,3.32568019881434,9.59195630039562,-4.08821409181246,5.66136120118878,2.67305605004213,7.07383773259727,4.80163460054837,0.819141868916631,7.23394369489792,2.13432783577548,3.88104639980884,4.80331001525171,3.34201465416713,4.17338255900151,3.77240185251682,2.41625685565774,2.83658212908817,5.62225816160344,3.48522781598027,5.44268554966725,4.71156172453999,3.89012644116818,5.12127789724337,4.52291921684423,4.4898964976265,5.1770268731498,4.67015636882111,5.29329471892532,5.07728777526728,3.83312393993225,4.73956739963045,5.23953291029852,6.53594493875502,6.67190498576788,7.05859935449848,6.01378975738535,5.04512479919337,5.57178818533122,6.46437912497728,6.52145877906443,6.01360565834344,6.0610593588495,6.55263987816197,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,